Titre,Artistes
Coastline,Hollow Coves
Got My Mind Set On You - 2009 Remaster,George Harrison
Juste après,"Carole Fredericks, Jean-Jacques Goldman, Michael Jones"
Youngblood,5 Seconds of Summer
Pepas,Farruko
TRUSTFALL,P!nk
Esta Vida,"Marshmello, Farruko"
Move Your Feet,Junior Senior
Rock My Body,"R3HAB, INNA, Sash!"
Kiss Me,Dermot Kennedy
What's Up Danger (with Black Caviar),"Blackway, Black Caviar"
Mr. Blue Sky,Electric Light Orchestra
The Feeling,"Lost Frequencies, Bonn"
Dance All Over Me,George Ezra
Hold Back The River,James Bay
Always,"Gavin James, Philippine"
Where No One Goes,"Jon Thor Birgisson, John Powell, Jónsi"
Forestry,Day We Ran
Young And Beautiful,Lana Del Rey
Mr. Brightside,The Killers
Gatluak - Bakermat Remix,"Kronan, Nyaruach, Bakermat"
Can You Hear The Music,Ludwig Göransson
Cheerleader (Felix Jaehn Remix) - Radio Edit,"OMI, Felix Jaehn"
Beautiful Day (Thank You for Sunshine),"Prinz, Rushawn, Jermaine Edwards"
Raging (feat. Kodaline),"Kygo, Kodaline"
Agape,Nicholas Britell
The story,Booyd
Beautiful Now,"Zedd, Jon Bellion"
Stay Young,"Mike Perry, Tessa"
Battle With Cipher (A Gravity Falls Orchestration),Rush Garcia
"Gravity Falls Main Theme (From ""Gravity Falls"")",Geek Music
Malade,Roméo Elvis
Decrescendo,Lomepal
Surfin' U.S.A.,The Beach Boys
"The Nutcracker, Op. 71, TH 14: No. 13, Waltz of the Flowers","Pyotr Ilyich Tchaikovsky, Slovak Philharmonic, Michael Halasz"
No Good,KALEO
HELP,Isabel LaRosa
Insane,Forseco
S&M,Rihanna
Bonjour merci,Arcadian
Sunday Bloody Sunday,U2
Wake Up World,"UNSECRET, Ruelle"
This Is The Life,Amy Macdonald
Sunny,Boney M.
Shooting to the Stars,"Diva Faune, Clara Doxal"
On a mangé le soleil,Céphaz
À nous !,Trois Cafés Gourmands
Homeless,Marina Kaye
Hero,"Alan Walker, Sasha Alex Sloan"
Tattoo,Loreen
RUNAWAY,OneRepublic
Deg,Albert Tawil
Stand Up (From Harriet),Cynthia Erivo
"Yes Sir, I Can Boogie (Paul Keenan Remix)","GBX, Baccara"
Sara perche ti amo,Amore Mio
Makeba,Jain
WELCOME,"Witt Lowry, Dan Haynes"
Dona Nobis Pacem 2,Max Richter
level7 (demo),OSAKA
Thumbs,Sabrina Carpenter
Nightcall,Kavinsky
Sundance,Népal
Avec Toi,OBOY
Wasting My Young Years,London Grammar
The 2nd Law: Isolated System,Muse
Late Night,ODESZA
Chikita,Calle Elevada
Quantum,"Martin Garrix, Brooks"
this is what sadness feels like - shortened,JVKE
Rocketship,Llunr
Don't Wait for Us,BLOW
Instead of Myself,Sleeping At Last
Rather Be (feat. Jess Glynne),"Clean Bandit, Jess Glynne"
Hearing,Sleeping At Last
Dream,Imagine Dragons
Step Out - The Chainsmokers Remix,"José González, The Chainsmokers"
Imperial March x Carol of The Bells,Samuel Kim
Battle of the Heroes & Duel of the Fates,Samuel Kim
Gravity,a2zMP3
Les lacs du Connemara,Michel Sardou
Sun,Talisco
Hold On & Believe (feat. The Federal Empire),"Martin Garrix, The Federal Empire"
Animals,Maroon 5
It's Called: Freefall - Sped Up,noturgf
Little Lion Man,Mumford & Sons
Test Drive - From How To Train Your Dragon Music From The Motion Picture,John Powell
Eté 90,Therapie TAXI
Ani Kuni,Polo & Pan
The Perfect Girl - slowed + reverb,"slō, twilight, Tazzy"
Boogie Wonderland,"Earth, Wind & Fire (with The Emotions)"
"Concerto for Violin and Strings in G minor, Op. 8, No. 2, R.315 ""L'estate"": 3. Presto (Tempo impetuoso d'estate)","Antonio Vivaldi, John Holloway, Nigel North, Academy of Ancient Music, Christopher Hogwood"
Je vais bien,RIDSA
What If (I Told You I Like You),"Johnny Orlando, kenzie"
Submarine,"Seeb, BANNERS, SUPER-Hi"
Fades Away (feat. Noonie Bao),"Avicii, Noonie Bao"
Coco - Todiefor Remix,"Lorenzo, Todiefor"
Hundred Miles (sped up + reverb) - Remix,Xanemusic
On And On,The Score
On Our Way,The Royal Concept
I Bet My Life,Imagine Dragons
Bad Day,"Pulsedriver, Tim Savey"
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)","A$AP Rocky, Rod Stewart, Miguel, Mark Ronson"
Stranger Things,The Theme System
Fly,Ludovico Einaudi
Blame (feat. John Newman),"Calvin Harris, John Newman"
Summer Nights - From “Grease”,"John Travolta, Olivia Newton-John"
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),"Martin Garrix, Macklemore, Fall Out Boy"
Stay In Bed,good problem
Shine A Light,BANNERS
Dragostea Din Tei (W&W Remix),"O-Zone, W&W"
Time of Our Lives,Chawki
All My Love,Thehiz
When The Beat Drops Out,Marlon Roudette
Something New,"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso"
10:35,"Tiësto, Tate McRae"
Saturday Night (Feel The Groove),"Brando, Ninetails"
Little Hollywood,"Alle Farben, Janieck"
A-Punk,Vampire Weekend
15h02 - Regarde comme il fait beau (dehors),Casseurs Flowters
Ne fuis pas,2TH
Demain - Bigflo & Oli X Petit Biscuit,"Bigflo & Oli, Petit Biscuit"
La pluie (feat. Stromae),"Orelsan, Stromae"
Walking The Wire,Imagine Dragons
Intro,The xx
Teenage Dream,Stephen Dawes
Detroit Become Human Hopeful,Keyson
We Have It All,Pim Stones
crutches,Daniel Leggs
take a moment to breathe.,normal the kid
H i j o D e L a L u n a (Orchestra),ExtraaaVibe
Castle on the Hill,Ed Sheeran
Come A Little Closer,Cage The Elephant
Shining Horizon,"Anne Sophie Versnaeyen, Gabriel Saban, Philippe Briand"
Rainy Dreams,"Anne Sophie Versnaeyen, Gabriel Saban"
Love Stream,Brice Davoli
Snow,Fabrizio Paterlini
Autumn Romance,"Anne Sophie Versnaeyen, Gabriel Saban"
The Power of Mind,"Anne Sophie Versnaeyen, Gabriel Saban, Philippe Briand"
Timelapse,Adrián Berenguer
Cornfield Chase,Hans Zimmer
Things From The Past,Evgeny Grinko
Ethan's Waltz,Abel Korzeniowski
"Comptine d'un autre été, l'après-midi",Yann Tiersen
L'étudiante et Monsieur Henri : ouverture,Laurent Aknin
Moral of the Story,Ashe
Fourth of July,Sufjan Stevens
Pray,Jessie Murph
It'll Be Okay,Shawn Mendes
Viva La Vida (Sped Up),Way 2 Fast
Answers,The Franklin Electric
Come Around,"CARSTN, H. Kenneth"
I Can't Love,"Mike Perry, Barefoot"
The Ballet Girl,Aden Foyer
